family	shade0	shade1	shade2	shade3
blue	#001f70	#002d8f	#0a38a8	#1442c0
green	#003d00	#005200	#0d6e0d	#1a8020
teal	#004040	#005c5c	#0a7474	#148585
purple	#280066	#360a80	#441494	#521ea8
yellow	#404000	#555500	#6b6b00	#808000
orange	#471800	#5c2400	#702e00	#853800
pink	#470047	#5c005c	#701470	#851e85
plum	#2a0a26	#3d1438	#501e4a	#63285c
mahogany	#2a0808	#3d1212	#501c1c	#632626
rust	#2a1408	#3d1e10	#502818	#633220
terracotta	#2a1810	#3d251a	#503224	#634030
wine	#1f0010	#2e0a1a	#3d1424	#4c1e2e
mauve	#2a1f2a	#3d2d3d	#50404f	#635361
navy	#000820	#0c1430	#182040	#243054
midnight	#08101c	#121c2a	#1e2838	#2a3548
slate	#1a2230	#25303f	#303c50	#3d4a60
denim	#0e2440	#163152	#1f3e64	#2a4d78
steel	#1f2b3a	#2a384a	#36465c	#44546e
indigo	#0a0c30	#14163f	#1e1f4f	#2b2c63
forest	#0a1f0a	#142a14	#1f3520	#2a402c
moss	#1a2410	#25301a	#303d24	#3d4a30
sage	#1a2a22	#25372e	#303f38	#3d4a45
evergreen	#0a201c	#142d28	#1e3a34	#2b4842
olive-dark	#1c2010	#28301a	#353f24	#424d30
petrol	#0a2026	#142d35	#1e3a44	#2a4854
peacock	#0a2632	#14333f	#1e404e	#2a4f5d
deepteal	#0c2828	#163636	#204444	#2c5454
eggplant	#1c0a24	#281030	#34183c	#40224a
royal	#10103c	#1a1a4c	#24245c	#303070
violet-dark	#1c1030	#281c40	#342850	#403460
lavender-dark	#1a1a2a	#252538	#303046	#3d3d56
amber	#2a1f00	#382a08	#463514	#544020
bronze	#2a1a10	#38241a	#463024	#543c30
ochre	#2a2008	#382c12	#463820	#544530
graphite	#1a1a1c	#25252a	#303038	#3d3d48
charcoal	#1e1e1e	#2a2a2a	#363636	#444444
gunmetal	#1c2024	#28303a	#343d4a	#424d5e
